riskyGain 5.00, riskyLoss -3.13, safe, 0.00, loc, 1, choice, 1, outcome, -3.13, RT, 0.74, ISI, 1, ITI, 3, trial, 87, block, 4, triBlock, 12
riskyGain 8.00, riskyLoss -2.86, safe, 0.00, loc, 2, choice, 1, outcome, -2.86, RT, 1.24, ISI, 1, ITI, 3, trial, 88, block, 4, triBlock, 13
riskyGain 5.00, riskyLoss -2.78, safe, 0.00, loc, 1, choice, 1, outcome, -2.78, RT, 0.39, ISI, 1, ITI, 2, trial, 89, block, 4, triBlock, 14
riskyGain 7.00, riskyLoss -2.26, safe, 0.00, loc, 2, choice, 1, outcome, 7.00, RT, 0.34, ISI, 1, ITI, 3, trial, 90, block, 4, triBlock, 15
riskyGain 8.00, riskyLoss -6.67, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.36, ISI, 1, ITI, 3, trial, 91, block, 4, triBlock, 16
riskyGain 7.00, riskyLoss -2.80, safe, 0.00, loc, 2, choice, 1, outcome, -2.80, RT, 1.28, ISI, 1, ITI, 3, trial, 92, block, 4, triBlock, 17
riskyGain 10.00, riskyLoss -5.26, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.66, ISI, 1, ITI, 3, trial, 93, block, 4, triBlock, 18
riskyGain 18.83, riskyLoss 0.00, safe, 6.59, loc, 1, choice, 1, outcome, 0.00, RT, 0.46, ISI, 1, ITI, 2, trial, 94, block, 4, triBlock, 19
riskyGain 7.00, riskyLoss -3.04, safe, 0.00, loc, 2, choice, 1, outcome, -3.04, RT, 0.30, ISI, 1, ITI, 1, trial, 95, block, 4, triBlock, 20
riskyGain 7.00, riskyLoss -5.38, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.91, ISI, 1, ITI, 1, trial, 96, block, 4, triBlock, 21
riskyGain 8.41, riskyLoss 0.00, safe, 3.79, loc, 1, choice, 0, outcome, 3.79, RT, 1.04, ISI, 1, ITI, 2, trial, 97, block, 4, triBlock, 22
riskyGain 2.00, riskyLoss -1.05, safe, 0.00, loc, 1, choice, 1, outcome, -1.05, RT, 0.54, ISI, 1, ITI, 2, trial, 98, block, 4, triBlock, 23
riskyGain 12.00, riskyLoss -3.00, safe, 0.00, loc, 1, choice, 1, outcome, -3.00, RT, 1.48, ISI, 1, ITI, 2, trial, 99, block, 4, triBlock, 24
riskyGain 10.00, riskyLoss -20.00, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.64, ISI, 1, ITI, 3, trial, 100, block, 4, triBlock, 25
riskyGain 2.00, riskyLoss -2.22, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.40, ISI, 1, ITI, 1, trial, 101, block, 5, triBlock, 1
riskyGain 2.00, riskyLoss -1.33, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.49, ISI, 1, ITI, 1, trial, 102, block, 5, triBlock, 2
riskyGain 12.00, riskyLoss -5.00, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.47, ISI, 1, ITI, 3, trial, 103, block, 5, triBlock, 3
riskyGain 5.00, riskyLoss -0.96, safe, 0.00, loc, 1, choice, 1, outcome, 5.00, RT, 0.50, ISI, 1, ITI, 2, trial, 104, block, 5, triBlock, 4
riskyGain 8.21, riskyLoss 0.00, safe, 3.90, loc, 2, choice, 1, outcome, 8.21, RT, 0.42, ISI, 1, ITI, 3, trial, 105, block, 5, triBlock, 5
riskyGain 17.13, riskyLoss 0.00, safe, 7.43, loc, 1, choice, 1, outcome, 0.00, RT, 0.44, ISI, 1, ITI, 1, trial, 106, block, 5, triBlock, 6
riskyGain 2.00, riskyLoss -0.54, safe, 0.00, loc, 2, choice, 1, outcome, -0.54, RT, 0.44, ISI, 1, ITI, 1, trial, 107, block, 5, triBlock, 7
riskyGain 2.00, riskyLoss -0.95, safe, 0.00, loc, 1, choice, 1, outcome, 2.00, RT, 0.38, ISI, 1, ITI, 2, trial, 108, block, 5, triBlock, 8
riskyGain 22.34, riskyLoss 0.00, safe, 12.83, loc, 2, choice, 1, outcome, 0.00, RT, 0.44, ISI, 1, ITI, 1, trial, 109, block, 5, triBlock, 9
riskyGain 8.92, riskyLoss 0.00, safe, 3.54, loc, 1, choice, 1, outcome, 8.92, RT, 0.49, ISI, 1, ITI, 2, trial, 110, block, 5, triBlock, 10
riskyGain 8.00, riskyLoss -3.64, safe, 0.00, loc, 2, choice, 1, outcome, 8.00, RT, 0.51, ISI, 1, ITI, 3, trial, 111, block, 5, triBlock, 11
riskyGain 10.67, riskyLoss 0.00, safe, 10.67, loc, 1, choice, 1, outcome, 0.00, RT, 0.44, ISI, 1, ITI, 1, trial, 112, block, 5, triBlock, 12
riskyGain 5.00, riskyLoss -3.57, safe, 0.00, loc, 2, choice, 1, outcome, -3.57, RT, 0.89, ISI, 1, ITI, 2, trial, 113, block, 5, triBlock, 13
riskyGain 7.00, riskyLoss -3.33, safe, 0.00, loc, 2, choice, 1, outcome, 7.00, RT, 0.37, ISI, 1, ITI, 2, trial, 114, block, 5, triBlock, 14
riskyGain 10.00, riskyLoss -4.00, safe, 0.00, loc, 2, choice, 1, outcome, -4.00, RT, 0.69, ISI, 1, ITI, 1, trial, 115, block, 5, triBlock, 15
riskyGain 7.33, riskyLoss 0.00, safe, 4.34, loc, 1, choice, 1, outcome, 0.00, RT, 0.78, ISI, 1, ITI, 1, trial, 116, block, 5, triBlock, 16
riskyGain 7.00, riskyLoss -4.12, safe, 0.00, loc, 2, choice, 1, outcome, -4.12, RT, 0.39, ISI, 1, ITI, 1, trial, 117, block, 5, triBlock, 17
riskyGain 19.88, riskyLoss 0.00, safe, 14.06, loc, 2, choice, 0, outcome, 14.06, RT, 0.50, ISI, 1, ITI, 3, trial, 118, block, 5, triBlock, 18
riskyGain 10.00, riskyLoss -2.17, safe, 0.00, loc, 1, choice, 1, outcome, 10.00, RT, 0.61, ISI, 1, ITI, 1, trial, 119, block, 5, triBlock, 19
riskyGain 7.04, riskyLoss 0.00, safe, 4.48, loc, 1, choice, 1, outcome, 7.04, RT, 0.40, ISI, 1, ITI, 1, trial, 120, block, 5, triBlock, 20
riskyGain 12.00, riskyLoss -17.14, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.41, ISI, 1, ITI, 1, trial, 121, block, 5, triBlock, 21
riskyGain 10.00, riskyLoss -3.23, safe, 0.00, loc, 2, choice, 1, outcome, 10.00, RT, 0.38, ISI, 1, ITI, 3, trial, 122, block, 5, triBlock, 22
riskyGain 12.00, riskyLoss -12.00, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.39, ISI, 1, ITI, 3, trial, 123, block, 5, triBlock, 23
riskyGain 23.31, riskyLoss 0.00, safe, 12.34, loc, 2, choice, 1, outcome, 0.00, RT, 0.46, ISI, 1, ITI, 1, trial, 124, block, 5, triBlock, 24
riskyGain 9.89, riskyLoss 0.00, safe, 3.05, loc, 2, choice, 1, outcome, 0.00, RT, 0.64, ISI, 1, ITI, 1, trial, 125, block, 5, triBlock, 25
